MM,Mon,Date,Engine Type,Ship,Pos,Type of Removal,RMV ESN,INST ESN,Stat,Reason,CSR,TSR,P/F,Override,Root Cause,,
5,May,5/9/2017,PW2000,6716,1,LLP,728775,716385,ATL,LLP,6042,13473,,,,,
5,May,5/10/2017,BR715,9544,1,UER,13322,13351,ATL,Turbine Blades,1997,1826,,,,,
5,May,5/10/2017,V2500,9235,2,UER,V20016,,VQQ,External Engine,2720,4699,,,,,
5,May,5/11/2017,BR715,9500,2,UER,13126,13212,ATL,Turbine Blades,3505,4454,,,,,
5,May,5/12/2017,V2500,9208,1,UER,V20025,V20191,ATL,Performance,2264,3875,,,,,
5,May,5/13/2017,CFM56-7B,3746,1,LLP,888169,891947,ATL,LLP,2981,8823,,,,,
5,May,5/14/2017,JT8D-219,927,2,LLP,725892,725522,CVG,LLP,4395,6098,,,,,
5,May,5/14/2017,CFM56-5A,3259,1,LLP,733288,,MSP,LLP,3420,7128,,,,,
5,May,5/14/2017,CFM56-5A,3267,2,Stagger,733360,731497,SLC,Stagger,4353,9142,,,,,
5,May,5/15/2017,V2500,9228,1,UER,V20089,V20045,MSP,Performance,6952,11495,,,,,
5,May,5/15/2017,CFM56-5A,3211,2,Harvest,733245,,SBD,Harvest,662,1376,,,,,
5,May,5/16/2017,JT8D-219,991,2,UER,725548,717865,ATL,FOD,1189,1666,,,,,
5,May,5/16/2017,CFM56-5A,3211,1,Harvest,733177,,SBD,Harvest,6141,12948,,,,,
5,May,5/17/2017,JT8D-219,928,2,UER,716740,726979,CVG,Turbine Blades,4582,6372,,,,,
5,May,5/17/2017,PW2000,5642,1,UER,727297,728764,ATL,Failed BSI,1715,6084,,,,,
5,May,5/18/2017,CFM56-5A,3117,2,UER,733372,,SLC,Performance,1420,2990,,,,,
5,May,5/19/2017,JT8D-219,975,2,UER,725535,717383,CVG,High EGT,0,0,LOW TIME,,,,
5,May,5/19/2017,CFM56-5A,3141,1,UER,731550,731304,MSP,Performance,846,1687,,,,,
5,May,5/19/2017,CFM56-7B,3777,1,LLP,875893,874377,DTW,LLP,3,10,,,,,
5,May,5/19/2017,CFM56-7B,3777,2,LLP,888672,888736,DTW,LLP,3,10,,,,,
5,May,5/20/2017,PW4168,3316,1,UER,733555,733577,AMS,Internal Damage,1561,12121,,,,,
5,May,5/20/2017,CFM56-7B,3604,1,Stagger,874943,888452,ATL,Stagger,4674,9132,,,,,
5,May,5/21/2017,V2500,9227,2,Stagger,V20054,,QRO,Stagger,5642,9372,,,,,
